상호명,상권업종대분류명,상권업종중분류명,상권업종소분류명,표준산업분류명,건물명,소재지지번주소,소재지도로명주소,소재지우편번호,WGS84위도,WGS84경도
CHAMPION태권GYM,학문/교육,학원기타,학원(종합),일반 교과 학원,보은연립,경기도 광명시 광명동 6-1,경기도 광명시 광복로 57,14205,37.489595529,126.8648206836
CHEGO꽃도매,소매,선물/팬시/기념품,꽃집/꽃배달,화초 및 산식물 소매업,,경기도 광명시 광명동 609-2,경기도 광명시 광명로676번길 58,14283,37.4602423009,126.8511304615
CHIC,소매,의복의류,일반의류,셔츠 및 기타 의복 소매업,광명해모로이연,경기도 광명시 광명동 785,경기도 광명시 목감로 58,14295,37.4731827019,126.8458249856
CJS,소매,운동/경기용품소매,운동/경기용품,운동 및 경기용품 소매업,,경기도 광명시 노온사동 363-1,경기도 광명시 아방리1길 14,14335,37.4439899003,126.845490513
CJ프레시웨이광명,음식,한식,한식/백반/한정식,한식 음식점업,광명테크노파크,경기도 광명시 소하동 1345,경기도 광명시 하안로 60,14322,37.4446218805,126.8947591629
CLEAN서비스센터,생활서비스,세탁/가사서비스,청소/소독,,삼하빌라,경기도 광명시 광명동 289-17,경기도 광명시 광오로9번길 3-1,14291,37.4748205018,126.8511801261
COCO플레이카페,학문/교육,학원기타,학원(종합),일반 교과 학원,,경기도 광명시 광명동 126-18,경기도 광명시 오리로 938,14217,37.478262853,126.8588156955
CU,소매,종합소매점,편의점,체인화 편의점,광명아파트,경기도 광명시 광명동 308-2,경기도 광명시 새터로12번길 44,14271,37.4716553112,126.8561831205
CU,소매,종합소매점,편의점,체인화 편의점,,경기도 광명시 철산동 464-8,경기도 광명시 오리로 899,14249,37.4765736623,126.8627079478
CU,소매,종합소매점,편의점,체인화 편의점,,경기도 광명시 철산동 245-4,경기도 광명시 철산로 27,14236,37.4767610739,126.868925507
CU,소매,종합소매점,편의점,체인화 편의점,오승빌딩,경기도 광명시 소하동 1241-4,경기도 광명시 기아로 14,14327,37.4362112814,126.8811218418
CU,소매,종합소매점,편의점,체인화 편의점,,경기도 광명시 광명동 342-1,경기도 광명시 광명로 833,14291,37.473739657,126.8514536266
CU,소매,종합소매점,편의점,체인화 편의점,에이스광명타워,경기도 광명시 소하동 1365,경기도 광명시 하안로 108,14319,37.4478901351,126.8921891444
CU,소매,종합소매점,편의점,체인화 편의점,서원빌딩,경기도 광명시 일직동 510-6,경기도 광명시 신기로17번길 3,14344,37.4205538832,126.8831241438
CU,소매,종합소매점,편의점,체인화 편의점,광명동오피스텔,경기도 광명시 광명동 374-67,경기도 광명시 광명로812번길 8,14275,37.4709903747,126.8504869929
